exp_name,lambda1_spec,lambda2_smooth,recon_w,sparse_w,epochs,mean_stoi,mean_si_sdr
exp_l1_0.01_l2_0.01,0.01,0.01,1.0,0.0,5,0.9329122925034672,16.97095676893204
exp_l1_0.01_l2_0.1,0.01,0.1,1.0,0.0,5,0.9338241969470131,16.850553368325247
exp_l1_0.01_l2_1,0.01,1.0,1.0,0.0,5,0.8764722050337441,14.403721062499999
exp_l1_0.01_l2_10,0.01,10.0,1.0,0.0,5,0.4660657627816985,-4.5815707412463595
exp_l1_0.1_l2_0.01,0.1,0.01,1.0,0.0,5,0.9375633250495021,17.03784174417476
exp_l1_0.1_l2_0.1,0.1,0.1,1.0,0.0,5,0.9358979985590941,16.967936718810677
