epoch,train_total,val_total,train_recon,val_recon,train_spec,val_spec,train_smooth,val_smooth,train_sparse,val_sparse
1,0.055459454808454954,0.04569181641884919,0.034839028096878465,0.028781730167824645,0.18919260483331632,0.14988899035700437,0.01701165890700742,0.019211868649541303,0.06732136524235749,0.07654367813776279
2,0.04371982217896633,0.04479591220874211,0.027666761226218597,0.028550927116182345,0.14329194568985484,0.1438245904085965,0.01723866123426223,0.018625259113594375,0.06796921307417292,0.07158181526023766
3,0.04197889815578446,0.04257333843230174,0.026596392325522935,0.0271717076414618,0.13647308174861733,0.13616617157541472,0.017351974719501582,0.017850133693166848,0.06850672764816226,0.07661540279614515
4,0.04026427432663082,0.039613701460947254,0.02546593424138679,0.024898658278558788,0.13055579521289556,0.1276578697151151,0.017427603725427586,0.019492561900024782,0.06868441668636646,0.07488487045569667
5,0.03898427389008805,0.037578357601987904,0.02464704140248694,0.023666700444601733,0.1258381157663099,0.12040873832743744,0.017534206845734868,0.01870783220912362,0.06905543484398532,0.07414030570151477
